codi;nom_en;familia;regim;logica;d_xxs_xs;d_xs_s;d_s_m;d_m_l;trenca;ancoratge;capa_defecte;seccio
NF;Motive width;N;Fix;FIXED;0;0;0;0;—;Component;exterior;MOTIUS I APLICATS (N)
NL;Motive height;N;Fix;FIXED;0;0;0;0;—;Component;exterior;MOTIUS I APLICATS (N)
Q;Dart length;Q;Llarg;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Tirada;exterior;PINCES I PLECS (Q)
QP;Dart placement;Q;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;PINCES I PLECS (Q)
QW;Dart intake;Q;Fix;FIXED;0;0;0;0;—;Cota;exterior;PINCES I PLECS (Q)
QT;Pleat width;Q;Fix;FIXED;0;0;0;0;—;Cota;exterior;PINCES I PLECS (Q)
QTP;Pleat placement;Q;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;PINCES I PLECS (Q)
QTD;Pleat depth;Q;Fix;FIXED;0;0;0;0;—;Cota;exterior;PINCES I PLECS (Q)
QTS;Pleat spacing;Q;Col·locació;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS;Cota;exterior;PINCES I PLECS (Q)
R;Pocket mouth width;R;Amplada;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS;Cota;exterior;BUTXACA (R)
R1;Pocket mouth length;R;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Tirada;exterior;BUTXACA (R)
R2;Pocket width;R;Amplada;LINEAR+BREAK;0.7;1;1;1;XS;Cota;exterior;BUTXACA (R)
R3;Pocket length;R;Amplada;LINEAR+BREAK;0.35;0.5;0.5;0.5;XS;Cota;exterior;BUTXACA (R)
RF;Pocket flap width;R;Amplada;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS;Cota;exterior;BUTXACA (R)
RF1;Pocket flap height;R;Fix;FIXED;0;0;0;0;—;Component;exterior;BUTXACA (R)
RW;Welt height;R;Fix;FIXED;0;0;0;0;—;Component;exterior;BUTXACA (R)
PR;Pocket placement;R;Col·locació;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS;Caiguda;exterior;BUTXACA (R)
S;Front armhole along seam;S;Amplada;LINEAR+BREAK;0.7;1;1;1;XS;Tirada;exterior;SISA I OBERTURES (S)
S2;Back armhole along seam;S;Amplada;LINEAR+BREAK;0.7;1;1;1;XS;Tirada;exterior;SISA I OBERTURES (S)
S3;Armhole curve;S;Amplada;LINEAR+BREAK;0.7;1;1;1;XS;Tirada;exterior;SISA I OBERTURES (S)
SF;Armhole depth from HPS;S;Amplada;LINEAR+BREAK;0.7;1;1;1;XS;Caiguda;exterior;SISA I OBERTURES (S)
SLT;Slit / opening length;S;Fix;FIXED;0;0;0;0;—;Tirada;exterior;SISA I OBERTURES (S)
SLT1;Vent overlap width;S;Fix;FIXED;0;0;0;0;—;Cota;exterior;SISA I OBERTURES (S)
T;Strap length;T;Llarg;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Component;exterior;TIRANT I TAPETA (T)
T1;Strap width;T;Fix;FIXED;0;0;0;0;—;Component;exterior;TIRANT I TAPETA (T)
T2;Strap placement;T;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;TIRANT I TAPETA (T)
TR;Placket height;T;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Component;exterior;TIRANT I TAPETA (T)
T3;Strap thickness;T;Fix;FIXED;0;0;0;0;—;Component;exterior;TIRANT I TAPETA (T)
T4;Strap cut width;T;Fix;FIXED;0;0;0;0;—;Cota;exterior;TIRANT I TAPETA (T)
U;Front overlap;U;Fix;FIXED;0;0;0;0;—;Cota;exterior;BOTONADURA I CREUAMENT (U)
U1;Button spacing;U;Fix;FIXED;0;0;0;0;—;Cota;exterior;BOTONADURA I CREUAMENT (U)
U2;First button placement;U;Col·locació;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS;Caiguda;exterior;BOTONADURA I CREUAMENT (U)
U3;Last button placement;U;Fix;FIXED;0;0;0;0;—;Caiguda;exterior;BOTONADURA I CREUAMENT (U)
U4;Flounce height;U;Fix;FIXED;0;0;0;0;—;Component;exterior;BOTONADURA I CREUAMENT (U)
UT1;Loop height;U;Fix;FIXED;0;0;0;0;—;Component;fornitura;BOTONADURA I CREUAMENT (U)
UT2;Loop width;U;Fix;FIXED;0;0;0;0;—;Component;fornitura;BOTONADURA I CREUAMENT (U)
V;Ruffle height;V;Fix;FIXED;0;0;0;0;—;Component;exterior;VOLANT (V)
VR;Ruffle length;V;Llarg;LINEAR+BREAK;1;1.5;1.5;1.5;XS;Tirada;exterior;VOLANT (V)
VP;Ruffle end placement;V;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;VOLANT (V)
W;Elastic width;W;Fix;FIXED;0;0;0;0;—;Component;fornitura;GOMA I ELÀSTICS (W)
WP;Elastic placement;W;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;fornitura;GOMA I ELÀSTICS (W)
X;Stitching width;X;Fix;FIXED;0;0;0;0;—;Component;exterior;PESPUNT I VIUS (X)
XP;Stitching placement;X;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;PESPUNT I VIUS (X)
XV;Jetting width;X;Fix;FIXED;0;0;0;0;—;Component;exterior;PESPUNT I VIUS (X)
Y;Panel width;Y;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Cota;exterior;PANELLS I TALLS (Y) 🆕
Y1;Panel height;Y;Llarg;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Cota;exterior;PANELLS I TALLS (Y) 🆕
YP;Panel and cut-out placement;Y;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;PANELLS I TALLS (Y) 🆕
YC1;Cut-out width;Y;Fix;FIXED;0;0;0;0;—;Cota;exterior;PANELLS I TALLS (Y) 🆕
ZL;Complement length;Z;Fix;FIXED;0;0;0;0;—;Component;fornitura;COMPLEMENTS (Z)
ZF;Complement width;Z;Fix;FIXED;0;0;0;0;—;Component;fornitura;COMPLEMENTS (Z)
ZC2;Cord channel height;Z;Fix;FIXED;0;0;0;0;—;Component;exterior;COMPLEMENTS (Z)
